name,location,
Chinese Money Plant,Office,,
Christmas Cactus,Office,,
Bunny Ear Cactus White,Office,,
Aloe Vera,Office,,
Jade Plant,Kitchen,,
ZZ Plant,Kitchen,,
Bunny Ear Cactus,Office,,
Blue Torch Column Cactus,Office,,
Fiddle Leaf Fig Tree,Dining Room,,
India Rubber Plant,Dining Room,,
Coffee,Office,,
Croton,Kitchen,,
Chinese money plant,Kitchen,,
Coffee Mini,Office,,
Emory's Barrel Cactus,Office,,
Spinystar,Office,,
Golden Barrel Cactus,Office,,
Golden Pothos,Office,,
Heart of Jesus,Office,,
Hilo Beauty,Office,,
Red-Headed Irishman,Office,,
Mammillaria Disco,Office,,
Monstera,Office,,
Neoraimondia herzogiana,Office,,
Peace Lily,Living Room,,
Persian Shield,Office,,
Birkin,Office,,
Pink Princess Philodendron,Office,,
Rattlesnake Plant,Office,,
Rex Begonia Prop,Office,,
Snake Plant,Living Room,,
Snake Plant Norma,Office,,
ZZ Prop,Office,,
Jade Plant,Office,,
Maranta Prayer Plant,Office,,
Burgundy Rubber Tree,Living Room,,
Coffea arabica,Kitchen,,
Venus Fly Trap,Library,,
Wandering Jew,Office,,
Lil Fiddle,Office,,
